id,title,phoneNumber,website,email,source,category
8020,Gradconsult,"0114 221 0242",http://www.gradconsult.co.uk,ask@gradconsult.co.uk,"SCR Growth Hub",
8021,"Grainger Appleyard","01302 327257",http://www.graingerappleyard.com,info@graingerappleyard.com,"SCR Growth Hub",
8022,"Graysons Solicitors","0114 299 1786",http://www.graysons.co.uk,info@graysons.co.uk,"SCR Growth Hub",
8023,"Green Tomato Consultancy",07826541540,,jo@greentomatoconsultancy.co.uk,"SCR Growth Hub",
8024,GreneIT,,https://www.greneit.com,robin@greneit.com,"SCR Growth Hub",
8025,"Grey And Green Limited","01628 788530",http://www.greyandgreen.co.uk,info@greyandgreen.co.uk,"SCR Growth Hub",
8026,"Growth Street","0808 123 1231",https://www.growthstreet.co.uk/,contact@growthstreet.co.uk,"SCR Growth Hub",
8027,"GY Web Development &amp; SEO",+447927203989,https://gyweb.co.uk/,sales@gyweb.co.uk,"SCR Growth Hub",
8028,"Hallmark Branding Ltd",07823357721,http://www.hallmarkbranding.co.uk,hello@hallmarkbranding.co.uk,"SCR Growth Hub",
8029,"Happier Digital Limited","07958 166659",http://www.happierdigital.co.uk,hello@happierdigital.co.uk,"SCR Growth Hub",
8030,"Harris &#038; Co Limited","01226 282461",http://www.harrisaccounts.co.uk,info@harrisaccounts.co.uk,"SCR Growth Hub",
8031,"Hart Shaw LLP","0114 251 8850",http://www.hartshaw.co.uk,info@hartshaw.co.uk,"SCR Growth Hub",
8032,"Hattersleys Solicitors","01709 582434",http://www.hattersleys.co.uk,mcalladine@hattersleys.co.uk,"SCR Growth Hub",
8033,"Hawsons Chartered Accountants","0114 266 7141",http://www.hawsons.co.uk,email@hawsons.co.uk,"SCR Growth Hub",
8034,"Helping Hands Home Care Sheffield",01142058117,https://www.helpinghandshomecare.co.uk/our-locations/sheffield/,Enquiries@helpinghands.co.uk,"SCR Growth Hub",
8035,"Helping Hands Sheffield",01142058177,https://www.helpinghandshomecare.co.uk/our-locations/sheffield/,Enquiries@helpinghands.co.uk,"SCR Growth Hub",
8036,"Henton Chartered Accountants","0114 246 1722",http://www.hentons.com,sheffield@hentons.com,"SCR Growth Hub",
8037,"HGF Limited","0114 274 3700",http://www.hgf.com,enquiries@hgf.com,"SCR Growth Hub",
8038,"HJC Actuarial","08000 848688",https://www.insuranceinspectservices.co.uk,johnbirkenhead@hjcactuarial.com,"SCR Growth Hub",
8039,HMA,"01226 209450",http://www.hma.co.uk,nicola@hma.co.uk,"SCR Growth Hub",
8040,HMRC,"0300 200 3600",https://www.gov.uk/government/organisations/hm-revenue-customs,helpdesk@ir-efile.gov.uk,"SCR Growth Hub",
8041,"Hollis and Co Limited","0114 281 6166",http://www.hollisco.co.uk,phollis@hollisco.co.uk,"SCR Growth Hub",
8042,"Holmegarth Business Srvices","020 3389 8454",http://www.holmegarth.com,info@holmegarth.com,"SCR Growth Hub",
8043,"Howard &#038; Co","01226 215215",http://www.howardandco.co.uk,law@howardandco.co.uk,"SCR Growth Hub",
8044,"Howells Solicitors","0114 249 6666",http://www.howellsllp.com,enquiries@howellsllp.com,"SCR Growth Hub",
8045,"HR Engage",+447796995148,http://3%20Madison%20Drive%20Bawtry,diane@hrengage.uk,"SCR Growth Hub",
8046,"HSL Accountancy Solutions","07926 450 250",http://www.hslaccountancysolutions.co.uk,info@hslaccountancysolutions.co.uk,"SCR Growth Hub",
8047,"Hydra Creative","0114 250 9578",http://www.hydracreative.com,hello@hydracreative.com,"SCR Growth Hub",
8048,"ICOMPLIANCE LTD",07459740422,https://icompliance.online/,marketing@icompliance.online,"SCR Growth Hub",
8049,"Idaq Networks Ltd","0114 3610100",http://www.idaqnetworks.com,mark.roebuck@idaq.com,"SCR Growth Hub",
8050,"IDT Finance","0350 200 79616",https://idtfinance.com,info@idtfinance.com,"SCR Growth Hub",
8051,iekos,"07816 970303",http://www.iekos.co.uk,hayley@iekos.co.uk,"SCR Growth Hub",
8052,"Ilett &#038; Clark Solicitors Limited","01909 500544",http://www.ilettclark.co.uk,law@ilettclark.co.uk,"SCR Growth Hub",
8053,"Impact 8 Ltd","07808 727572",http://www.impact8.co.uk/,greg@impact.co.uk,"SCR Growth Hub",
8054,"In the Works PR","01246 386480",http://www.intheworkspr.co.uk,hello@intheworkspr.co.uk,"SCR Growth Hub",
8055,"Inclusive Consulting Ltd","07415 335804",http://www.incconsulting.co.uk,emma.conroy@incconsulting.co.uk,"SCR Growth Hub",
8056,"Inertia Creative Ltd",47598075473,http://www.inertiacreative.co.uk,josh@inertiacreative.co.uk,"SCR Growth Hub",
8057,"Ink &#038; Water","0114 296 0402",https://inkandwater.co.uk,hello@inkandwater.co.uk,"SCR Growth Hub",
8058,"Innovate UK","0300 321 4357",https://www.gov.uk/government/organisations/innovate-uk,support@innovateuk.ukri.uk,"SCR Growth Hub",
8059,"Intelicle Ltd",03301132418,"http://Business%20HQ,%2011%20Oak%20Street,%20Carrington,",wowcommerce1@gmail.com,"SCR Growth Hub",
8060,"intellisoft ltd",07759078927,http://www.intellio.co.uk,r.morrall@intellio.co.uk,"SCR Growth Hub",
8061,"InXpress Sheffield","0800 195 2125",http://www.inxpress-sheffield.com,info.uk@inxpress.com,"SCR Growth Hub",
8062,"Ironmonger Curtis","0845 2252635",http://www.ironmongercurtis.com,info@ironmongercurtis.com,"SCR Growth Hub",
8063,"Irwin Mitchell LLP","0114 2767777",http://www.irwinmitchell.com,enquiries@irwinmitchell.com,"SCR Growth Hub",
8064,"ISO 9001 Support Centre","01709 301303",http://www.iso9001supportcentre.com,pete@peterts.com,"SCR Growth Hub",
8065,"Ison Harrison Solicitors",01132845095,http://isonharrison.co.uk,richard.coulthard@isonharrison.co.uk,"SCR Growth Hub",
8066,"Jackson Quinn Solicitors","01909 480066",http://www.jacksonquinn.com,admin@jacksonquinn.com,"SCR Growth Hub",
8067,"Jacksons Accountants Limited",07493569437,https://jaccountants.co.uk/,contact@jaccountants.co.uk,"SCR Growth Hub",
8068,"JEL Business Solutions Ltd","07702 300041",http://uk.linkedin.com/in/jameslennon1,James@JELBusinessSolutionsLtd.co.uk,"SCR Growth Hub",
8069,"Jex Business Services Ltd.","07495 768961",http://www.jexbusinessservices.com,john.jex@jexbusinessservices.com,"SCR Growth Hub",
8070,"J&#038;J Commercial Finance","01709 805624",http://www.JJCommercialFinance.co.uk,Jamie.Baggaley@JJCommercialFinance.co.uk,"SCR Growth Hub",
8071,"John Gaunt &#038; Partners","0114 266 8664",http://www.john-gaunt.co.uk,info@john-gaunt.co.uk,"SCR Growth Hub",
8072,"Jones &#038; Co","01777 703827",http://www.jonessolicitors.co.uk,info@jonessolicitors.co.uk,"SCR Growth Hub",
8073,"JTL Training","0800 085 2308",https://www.jtltraining.com/,info@jtltraining.com,"SCR Growth Hub",
8074,"Juice Ventures","07854 241500",https://juice.ventures/,growth@juice.ventures,"SCR Growth Hub",
8075,"JW Holdings Group Ltd","0845 463 7886",http://www.bizbox.org.uk,info@bizbox.org.uk,"SCR Growth Hub",
8076,Keebles,"0114 252 1423",http://www.keebles.com,giles.searby@keebles.com,"SCR Growth Hub",
8077,"Keep Your Fork Marketing &#038; PR","0114 349 0499",http://www.keepyourfork.co.uk,office@keepyourfork.co.uk,"SCR Growth Hub",
8078,"Kim Kirk Creative",07378667935,https://kkcreative.co.uk,hello@kkcreative.co.uk,"SCR Growth Hub",
8079,"Knowles Warwick","0114 274 7576",http://www.knowleswarwick.com,bestadvice@knowleswarwick.com,"SCR Growth Hub",
8080,"Kwayse Digital Marketing","020 3289 0500",https://www.kwayse.com/web-design-sheffield,sales@kwayse.com,"SCR Growth Hub",
8081,"Laura Stead, Freelance Marketing Specialist","07891 460857",http://www.laurastead.com,lstead@outlook.com,"SCR Growth Hub",
8082,"Lean Culture Developments",07711606648,,paulcook@leanculturedevelopments.co.uk,"SCR Growth Hub",
8083,"Legacy Finance Group Limited","0203 633 6035",http://www.legacyfinancegroup.co.uk,contact@legacyfinancegroup.co.uk,"SCR Growth Hub",
8084,"Leyton UK",07513710954,https://leyton.com/uk/,bsayer@leyton.com,"SCR Growth Hub",
8085,"LightStart &#8211; The Innovation Design House","07949 755008",http://www.lightstart.co.uk,ideas@lightstart.co.uk,"SCR Growth Hub",
8086,"Lime Solicitors","0808 164 0808",https://www.limesolicitors.co.uk/,mail@limesolicitors.co.uk,"SCR Growth Hub",
8087,"Little Mesters Agency","07468 423080",http://littlemesters.agency,tom@littlemesters.agency,"SCR Growth Hub",
8088,"Live and Learn Consultancy Ltd","08448 119 463",http://www.liveandlearnconsultancy.co.uk,info@liveandlearnconsultancy.co.uk,"SCR Growth Hub",
8089,"Lloyd Communication for Export","07968 902226",http://www.lloydinternational.co.uk,mary@lloydinternational.co.uk,"SCR Growth Hub",
8090,Locality,"0345 458 8336",http://locality.org.uk/locality-consultancy/,info@locality.org.uk,"SCR Growth Hub",
8091,"Logica Digital","0114 551 1534",https://logica-digital.co.uk/,amy@logica-digital.co.uk,"SCR Growth Hub",
8092,"Lojix Limited","01226 236449",https://www.lojix.co.uk/,john@lojix.co.uk,"SCR Growth Hub",
8093,"Loud Crowd","01302 965482",https://loudcrowd.agency/,david@loudcrowd.agency,"SCR Growth Hub",
8094,"Lupton Fawcett LLP","0330 404 6419",http://www.luptonfawcett.com,law@luptonfawcett.com,"SCR Growth Hub",
8095,"MA Education Consultancy CIC",07488265235,http://www.ma-consultancy.co.uk,info@ma-consultancy.co.uk,"SCR Growth Hub",
8096,"Maddison Product Design","01798 865 711",http://www.maddison.co.uk,info@maddison.co.uk,"SCR Growth Hub",
8097,"Make it Matte Black","07523 578270",http://www.makeitmatteblack.co.uk,matt@makeitmatteblack.co.uk,"SCR Growth Hub",
8098,"Maker&#8217;s Name",07472393399,https://themakersname.com,james@themakersname.com,"SCR Growth Hub",
8099,"Malcolm C Foy &#038; Co Solicitors","01709 836866",http://www.mcfcommercial.com,info@malcolmcfoy.co.uk,"SCR Growth Hub",
8100,"Mantra Media Ltd","0114 299 9213",http://www.mantrahq.com,hello@mantrahq.com,"SCR Growth Hub",
8101,"March Forward Media","07932 317060",http://marchforwardmedia.com/,neil@marchforwardmedia.com,"SCR Growth Hub",
8102,"Marketing and Business Planning Limited","0114 2307723",http://www.marketingandbusinessplanning.com,louise@marketingandbusinessplanning.com,"SCR Growth Hub",
8103,"Marvel Projects Ltd.",07852995392,http://www.marvelprojectsltd.co.uk,ash@marvelprojectsltd.co.uk,"SCR Growth Hub",
8104,"Matt Needham PR","07838 156413",http://www.mattneedhampr.co.uk,mattneedhampr@live.co.uk,"SCR Growth Hub",
8105,Medilink,"0114 232 9292",http://www.medilink.co.uk,contact@medilink.co.uk,"SCR Growth Hub",
8106,"Metroid 2247 Ltd",07751234445,http://www.2247.co.uk,glenn.bluff@2247.co.uk,"SCR Growth Hub",
8107,"Millichamp Ltd",07796300136,http://www.millichamp.co,sally@millichamp.co,"SCR Growth Hub",
8108,"Mistral Associates Limited","07411 193371",https://www.mistral-associates.co.uk,info@mistral-associates.co.uk,"SCR Growth Hub",
8109,"Mitchells Chartered Accountants and Business Advisers","01246 274 121",http://www.mitchellsaccountants.co.uk,consult@mitchellsaccountants.co.uk,"SCR Growth Hub",
8110,"MJB Coaching","07857 422614",http://www.mjbcoaching.co.uk,martin@mjbcoaching.co.uk,"SCR Growth Hub",
8111,"Monese Ltd.","07743 779993",http://monese.com,sophie.cairns@monese.com,"SCR Growth Hub",
8112,"Money &#038; Pensions Service","01159 659570",https://moneyandpensionsservice.org.uk/,contact@maps.org.uk,"SCR Growth Hub",
8113,"Monoclinic Ltd","07766 748883",https://wiz.shef.ac.uk/examples,p.moghadam@sheffield.ac.uk,"SCR Growth Hub",
8114,"Mosaic International","+44 7885 784783",http://www.mosaicint.co.uk,kiley.tan@mosaicint.co.uk,"SCR Growth Hub",
8115,"Mowbray Accounting Limited","0845 2256777",http://www.mowbrayaccounting.co.uk,info@mowbrayaccounting.co.uk,"SCR Growth Hub",
8116,"MPA Group","0808 208 5221",https://www.thempagroup.co.uk/,tony.cassidy@thempagroup.co.uk,"SCR Growth Hub",
8117,"My Mentor Coach",07555973478,http://www.mymentorcoach.co.uk,carlsouthward58@yahoo.com,"SCR Growth Hub",
8118,MyExpert,03337721429,https://myexpert.gift,support@myexpert.gift,"SCR Growth Hub",
8119,myMarketingWizard,"07870 528 278","http://www,mymarketingwizard.io",steve@mymarketingwizard.io,"SCR Growth Hub",
8120,"N Brook Ltd",01484424961,http://www.taxassist.co.uk/barnsley,nickbrook@taxassist.co.uk,"SCR Growth Hub",
8121,"National Business Support Helpline","0800 998 1098",https://www.gov.uk/business-support-helpline,enquiries@businesssupporthelpline.org,"SCR Growth Hub",
8122,"Need More Clicks","01302 211 450",http://www.needmoreclicks.com,info@needmoreclicks.com,"SCR Growth Hub",
8123,"Newman &#038; Bond","01226 213434",http://www.newmanandbond.co.uk,info@newmanandbond.co.uk,"SCR Growth Hub",
8124,"Nicholson &#038; Co Accountancy","0114 453 4572",http://www.nicholsonandco.co.uk,info@nicholsonandco.co.uk,"SCR Growth Hub",
8125,"Nimbitech Ltd","0113 539 9525",https://nimbi.tech/,hello@nimbi.tech,"SCR Growth Hub",
8126,"North East Derbyshire Council","01246 231111",http://www.ne-derbyshire.gov.uk/,connectNE@ne-derbyshire.gov.uk,"SCR Growth Hub",
8127,"Northern Bear","01543 520063",http://www.thenorthernbear.co.uk,chris@thenorthernbear.co.uk,"SCR Growth Hub",
8128,"Occupational Health Assessment Ltd","020 3239 8229",https://occupationalhealthassessment.com/,support@ohassessment.com,"SCR Growth Hub",
8129,"Office Friendly",01142566294,http://www.officefriendly.co.uk,will.nixon@officefriendly.co.uk,"SCR Growth Hub",
8130,"Offices.co.uk Sheffield","0800 611 8150",https://www.offices.co.uk/sheffield/,info@offices.co.uk,"SCR Growth Hub",
8131,Olodesign,"01909 512109",https://www.olodesign.uk/,thaslam@olodesign.uk,"SCR Growth Hub",
8132,"Open House Pictures","0114 2051516",https://www.openhousepictures.co.uk/,info@openhousepictures.co.uk,"SCR Growth Hub",
8133,"Opera Public Relations","0333 355 3600",https://operapr.com,simon@operapr.com,"SCR Growth Hub",
8134,"Opportunity Marketing",07989977835,https://opportunitymarketing.co.uk/,rachel.proctor@opportunitymarketing.co.uk,"SCR Growth Hub",
8135,"Opportunity Marketing Limited","0333 320 4108",http://www.opportunitymarketing.co.uk,info@opportunitymarketing.co.uk,"SCR Growth Hub",
8136,Paperound,"07522 901444",http://paperound.com,info@paperound.com,"SCR Growth Hub",
8137,"Paul Hesp Management Consultancy (PHMC)","07770 538 577",http://www.phmc.co.uk,info@phmc.co.uk,"SCR Growth Hub",
8138,"Payroll Solutions UK Limited",01246233108,https://payrollsolutionsuk.co.uk,info@payrollsolutionsuk.co.uk,"SCR Growth Hub",
8139,"PDQ Funding","01246 233111",https://pdq-funding.co.uk,admin@pdq-funding.co.uk,"SCR Growth Hub",
8140,"Peak Management Associates (Ashbourne) Limited","01335 300500",http://www.peakmanagementassociates.co.uk,enquiries@peakmanagement.co.uk,"SCR Growth Hub",
8141,"Pennine Law","01226 369600",http://www.penninelaw.co.uk,mail@penninelaw.co.uk,"SCR Growth Hub",
8142,"Picture Perfect Photography",07590840532,http://www.picture-perfect-photo.co.uk,collette.hobson@hotmail.co.uk,"SCR Growth Hub",
8143,"Pinnacle International Freight Ltd","0845 6216 111",http://www.pif.co.uk,enquiry@pif.co.uk,"SCR Growth Hub",
8144,"Pisces Accounts Limited","0114 2851023",http://www.piscesaccounts.co.uk,alanoakes@piscesaccounts.co.uk,"SCR Growth Hub",
8145,"Porterdale Ltd","0114 419 0150",http://www.porterdale.co.uk,steve.carroll@porterdale.co.uk,"SCR Growth Hub",
8146,"Postlethwaite Solicitors",02038189420,http://www.postlethwaiteco.com,rmp@postlethwaiteco.com,"SCR Growth Hub",
8147,"PP &#038; CP Management Services Ltd","01709 321500",https://www.ppandcpmanagementservices.com/,paul.pashley.ppcp@outlook.com,"SCR Growth Hub",
8148,"Prestons Chartered Accountants","01246 211160",http://www.prestonsca.co.uk,info@prestonsca.co.uk,"SCR Growth Hub",
8149,"Prince&#8217;s Trust","0800 842842",http://www.princes-trust.org.uk/,Chris.mason@princes-trust.org.uk,"SCR Growth Hub",
8150,"Productive Machines","07787 512 548",https://productivemachines.co.uk/,thomas@productivemachines.co.uk,"SCR Growth Hub",
8151,"Prototype Creative",01709761129,https://prototypecreative.co.uk/,hello@prototypecreative.co.uk,"SCR Growth Hub",
8152,PurixDigital.com,"07448 938637",http://purixdigital.com,felix@purixdigital.com,"SCR Growth Hub",
8153,"Purple Shoots Business Loans Ltd.",07508880489,https://purpleshoots.org,richard@purpleshoots.co.uk,"SCR Growth Hub",
8154,Qinesis,"0845 873 9274",http://www.Qinesis.com,csk@Qinesis.com,"SCR Growth Hub",
8155,Qualsys,"0114 282 3338",http://www.qualsys.co.uk,sales@qualsys.co.uk,"SCR Growth Hub",
8156,Quba,"0114 2797779",https://www.quba.co.uk,hello@quba.co.uk,"SCR Growth Hub",
8157,Quickbooks,"0808 1684246",https://quickbooks.intuit.com/uk/,Kerstin_Dubois@intuit.com,"SCR Growth Hub",
8158,"R3D2 Social Media","0114 398 4114",http://www.r3d2.co.uk,rich@r3d2.co.uk,"SCR Growth Hub",
8159,"Rainbow Consultancy",07826541540,http://Www.rainbowconsultancy.co.uk,jo@rainbowconsultancy.co.uk,"SCR Growth Hub",
8160,"randd uk","01332 477 070",http://www.randduk.com,info@randduk.com,"SCR Growth Hub",
8161,"Rapid Ramp â€“ Fully Compliant Ramps &amp; steps","01424 714646",http://www.rapidramp.co.uk,sales@rapidramp.co.uk,"SCR Growth Hub",
8162,"Raspberry Flamingo","07595 756450",http://www.raspberryflamingo.com,claire@raspberryflamingo.com,"SCR Growth Hub",
8163,"R&#038;D Tax Solutions","0345 193 7334",https://randdtaxes.co.uk/,enquiries@randdtaxes.co.uk,"SCR Growth Hub",
8164,"Rebecca Kirk (Coaching &#038; Consulting)","07824 531893",http://www.rebeccakirk.co.uk,hello@rebeccakirk.co.uk,"SCR Growth Hub",
8165,"Red Button Associates Limited",07941019706,http://www.redbuttonassociates.com,amanda@redbuttonassociates.com,"SCR Growth Hub",
8166,RestroTec,02032890500,https://www.restrotec.com,contact@restrotec.com,"SCR Growth Hub",
8167,"Retail Secure","0333 320 8848",https://www.retailsecure.co.uk/,enquiries@retailsecure.co.uk,"SCR Growth Hub",
8168,"Richmond Innovation",07944555470,http://www.richmondinnovation.com,contact@richmondinnovation.com,"SCR Growth Hub",
8169,"RLA Capital Limited","01244 389304",https://www.rlacapital.co.uk,enquire@rlacapital.co.uk,"SCR Growth Hub",
8170,"Robert Ogle Chartered Accountants","01709 830725",http://www.robertogle.co.uk,info@robertogle.co.uk,"SCR Growth Hub",
8171,"Rosalind Watchorn Solicitors","0114 229 0160",http://www.rwatchorn.co.uk,mail@rwatchorn.co.uk,"SCR Growth Hub",
8172,"Rotherham Investment &#038; Development Office (RiDO)","01709 254 444",http://www.rido.org.uk,info@rido.org.uk,"SCR Growth Hub",
8173,"Royston Parkin","0114 2720306",https://roystonparkin.co.uk,roystonparkin1@gmail.com,"SCR Growth Hub",
8174,"RVR Management Ltd","01604 492623",http://www.rvrmanagement.co.uk/,rshah@rvrmanagement.co.uk,"SCR Growth Hub",
8175,"Sam Walker Copywriting &#038; Marketing","07940 990 981",http://www.samwalkercopywriting.co.uk,sam@samwalkercopywriting.co.uk,"SCR Growth Hub",
8176,"Sardison Capital",07508727770,http://www.sardison.co.uk,info@sardison.com,"SCR Growth Hub",
8177,Savants,"07399 660 002",https://savants.co.uk,jbaggaley@savants.co.uk,"SCR Growth Hub",
8178,"SDP Student Homes",01142580060,https://www.sdpstudenthomes.co.uk/,oliver@sdpstudenthomes.co.uk,"SCR Growth Hub",
8179,"Search Focus SEO",07784293809,https://www.searchfocus.co.uk,seoroiuk@gmail.com,"SCR Growth Hub",
8180,"Select Distinct",07949763848,"http://31%20West%20Bank%20Drive,%20South%20Anston",simon.harrison@selectdistinct.co.uk,"SCR Growth Hub",
8181,"Select Distinct Limited",+447949763848,http://31%20West%20Bank%20Drive,simon.harrison@selectdistinct.co.uk,"SCR Growth Hub",
8182,"SemiDot Infotech","+1 7209248638",https://semidotinfotech.com/,marketing@semidotinfotech.com,"SCR Growth Hub",
8183,"Senior Business Development Ltd","01226 770720",http://www.seniorbusinessdevelopment.co.uk,info@seniorbusinessdevelopment.co.uk,"SCR Growth Hub",
8184,"SEO Sheffield",07164223467,https://www.searchfocus.co.uk/seo-sheffield/,seoroiuk@gmail.com,"SCR Growth Hub",
8185,"Server Consultancy Ltd","020 372 72000","http://First%20Floor,%20Amba%20House,%2015%20College%20Road",contact@serverconsultancy.co.uk,"SCR Growth Hub",
8186,"Seven Hills Creative","0114 3984121",http://www.sevenhillscreative.co.uk,mark@sevenhillscreative.co.uk,"SCR Growth Hub",
8187,"Sheffield Chamber Of Commerce","0114 201 8888",https://www.scci.org.uk/,membership@scci.org.uk,"SCR Growth Hub",
8188,"Sheffield City Council","0114 2734318",https://www.sheffield.gov.uk/home/business,info@sheffield.gov.uk,"SCR Growth Hub",
8189,"Sheffield Occupational Health Advisory Service","0114 2755760",http://www.sohas.co.uk,nick.pearson@sohas.co.uk,"SCR Growth Hub",
8190,"Shine Mortgages","0161 9610078",https://www.shinemortgages.co.uk/,info@shinemortgages.co.uk,"SCR Growth Hub",
8191,Shorts,"01246 559955",http://www.shorts.uk.com,info@shorts.uk.com,"SCR Growth Hub",
8192,"Shorts Chartered Accountants","01246 541 489",https://www.shorts.uk.com/,tom.fletcher@shorts.uk.com,"SCR Growth Hub",
8193,"Simbix LLP",07554114829,http://www.simbix.co.uk,andrew.hughes@simbixllp.com,"SCR Growth Hub",
8194,"Simoda Limited",01142815973,http://www.simoda.co.uk,daniel.bumby@simoda.co.uk,"SCR Growth Hub",
8195,"Simpson Social","07921 859265",https://www.facebook.com/SimpsonSocial/,Catherine@avpt.co.uk,"SCR Growth Hub",
8196,SkillsLogic,"0114 383 0093",http://www.skillslogic.com,info@skillslogic.com,"SCR Growth Hub",
8197,"Small Business Nanny Ltd",07971190911,http://www.smallbusinessnanny.co.uk,caroline@smallbusinessnanny.co.uk,"SCR Growth Hub",
8198,"SmallRank Marketing &#038; Website Development",,https://biz.smallrank.com,kartik@smallrank.com,"SCR Growth Hub",
8199,"Smat Green Shift Ltd",07427336275,,Blaise.mempouo@smartgreenshift.com,"SCR Growth Hub",
8200,"SMH Andertons Liverside","01709 512600",http://www.andertonsliversidge.co.uk,info@smha.co.uk,"SCR Growth Hub",
8201,"SMH HAYWOOD &amp; CO.","01709 377909",http://www.haywoodandco.com,nvarley@smhca.co.uk,"SCR Growth Hub",
8202,"Smith Craven Chartered Accountants","01302 329 511",http://www.smithcraven.co.uk,mail@smithcraven.co.uk,"SCR Growth Hub",
8203,"Social Media Solutions (UK) Limited",07758232379,http://www.smsukltd.co.uk,pamela@smsukltd.co.uk,"SCR Growth Hub",
8204,"Social Raft",07714252641,http://www.socialraft.co.uk,carl@socialraft.co.uk,"SCR Growth Hub",
8205,"Solve Consultants Limited","07850 766238",http://www.solvecs.co.uk,jo@solvecs.co.uk,"SCR Growth Hub",
8206,"Solvo Vir Ltd","0330 0539140",https://www.solvovir.co.uk/,info@solvovir.co.uk,"SCR Growth Hub",
8207,"Sorola Energy Limited","01709 245 366",http://www.sorolaenergy.co.uk,katie.gill@sorolaenergy.co.uk,"SCR Growth Hub",
8208,"Sort Of&#8230;Films","0114 258 2370",https://www.sortoffilms.co.uk/,info@sortoffilms.co.uk,"SCR Growth Hub",
8209,"Sparqa Legal","07899 912280",http://www.sparqa.com,dan.mitchell@sparqa.com,"SCR Growth Hub",
8210,"Spencers Solicitors","08000 93 00 94",http://www.spencerssolicitors.com,mail@spencerssolicitors.com,"SCR Growth Hub",
8211,"Sporting Capital","020 36378232",http://www.sportingcapital.org.uk,enquiries@sportingcapital.org.uk,"SCR Growth Hub",
8212,"Square 5 Ltd","07545 210108",http://www.square5.co.uk,mark.oreilly@square5.co.uk,"SCR Growth Hub",
8213,"Startup Business Branding","07378 667935",https://startupbusinessbranding.co.uk,hello@startupbusinessbranding.co.uk,"SCR Growth Hub",
8214,"Steel Copywriters",07597093739,http://www.Steelcopywriters.com,Mattwhalen@steelcopywriters.com,"SCR Growth Hub",
8215,"Step Recruitment Ltd","0115 8718740",http://www.step.org.uk,t.millns@step.org.uk,"SCR Growth Hub",
8216,Supplytrain,0800Â 8870213,https://supplytrain.co.uk,hello@supplytrain.co.uk,"SCR Growth Hub",
8217,"Sutton McGrath Hartley","0114 266 4432",http://www.suttonmcgrathhartley.co.uk,info@smhca.co.uk,"SCR Growth Hub",
8218,"Swift Removals Sheffield",01144199786,https://prosheffieldremovals.co.uk/,swiftremovalssheffield@gmail.com,"SCR Growth Hub",
8219,Switchstance,"0114 3456700",https://switchstance.agency/,matt.cuff@switchstance.agency,"SCR Growth Hub",
8220,"Synergos Consultancy Ltd","01484 666160",http://synergosconsultancy.co.uk/,info@synergosconsultancy.co.uk,"SCR Growth Hub",
8221,"System Improvement Consultancy","07484 771 694",http://www.systemimprovement.co.uk,steve@systemimprovement.co.uk,"SCR Growth Hub",
8222,TaxAid,"0345 120 3779",http://www.taxaid.org.uk,katy.graham@taxvol.org.uk,"SCR Growth Hub",
8223,"TaxAssist Accountants","0114 294 5358",http://www.taxassist.co.uk/sheffield-north,nickbrook@taxassist.co.uk,"SCR Growth Hub",
8224,"Taylor Bracewell","01302 341 414",http://www.taylorbracewell.co.uk,hello@TaylorBracewell.co.uk,"SCR Growth Hub",
8225,"Taylor &#038; Emmet LLP","0114 218 4000",http://www.tayloremmet.co.uk,info@tayloremmet.co.uk,"SCR Growth Hub",
8226,"TBAT Innovation","01332 819 740",http://www.tbat.co.uk,info@tbat.co.uk,"SCR Growth Hub",
8227,"Technical Display Consortium Limited",01142500000,http://www.tdc-av.com,info@tdc-av.com,"SCR Growth Hub",
8228,"TecSec Services Ltd",01142238000,https://www.tecsec.co.uk,leila@tecsec.co.uk,"SCR Growth Hub",
8229,"TEQ Group &#8211; R&#038;D tax experts","07854 490429",https://www.teqgroup.co.uk/rd-tax-credits/what-is-rd-tax-relief/,daulton.byfield@teqgroup.co.uk,"SCR Growth Hub",
8230,"The 10,000 Small Business Programme","01865 288923",http://www.gs.com/10ksb-uk,10ksb@sbs.ox.ac.uk,"SCR Growth Hub",
8231,"The Byrne Practice","01302 711211",http://www.tbplaw.co.uk,info@tbplaw.co.uk,"SCR Growth Hub",
8232,"The CPC Link Ltd","07968 950301",http://www.cpclink.co.uk,martin@cpclink.co.uk,"SCR Growth Hub",
8233,"The Family Soutions","0114 4701051",,help@thefamilysolutions.com,"SCR Growth Hub",
8234,"The Forge Digital Ltd","0333 050 6840",https://www.theforge.digital,hello@theforge.digital,"SCR Growth Hub",
8235,"The IT Trainer","0114 4040160",http://www.the-it-trainer.co.uk,info@the-it-trainer.co.uk,"SCR Growth Hub",
8236,"The Johnson Partnership","01302 369265",http://www.thejohnsonpartnership.co.uk,mail@jpdoncaster.co.uk,"SCR Growth Hub",
8237,"The Managing Directors&#8217; Club","0114 222 7620",https://www.mdclub.org.uk/,e.edey@sheffield.ac.uk,"SCR Growth Hub",
8238,"The Rail Alliance","01789 720026",http://www.railalliance.co.uk,info@railalliance.co.uk,"SCR Growth Hub",
8239,"The RM2 Partnership Limited","0208 949 5522",http://www.rm2.co.uk,enquiries@rm2.co.uk,"SCR Growth Hub",
8240,"The SEO Works",08002922410,https://www.seoworks.co.uk,info@seoworks.co.uk,"SCR Growth Hub",
